dataset,kind,r
depmap,within,0.9892868462584102
depmap,within,0.9935040199947809
depmap,within,0.9905070950056425
depmap,within,0.988924003124779
depmap,within,0.9826358483666724
depmap,within,0.9891623507260567
depmap,within,0.9895653635833888
depmap,within,0.9882120533711077
depmap,within,0.9860745516470845
depmap,within,0.9924240503210384
depmap,within,0.988795625951525
depmap,within,0.9931667100735598
depmap,within,0.9910977113520045
depmap,within,0.9829157277321569
depmap,within,0.989372896579003
depmap,within,0.9890131815023168
depmap,within,0.9877978746903019
depmap,within,0.9888250378801644
depmap,within,0.9872137009277615
depmap,within,0.9921124920269425
depmap,within,0.9841111589555084
depmap,within,0.9769403246631537
depmap,within,0.9816800262706934
depmap,within,0.9816202995165018
depmap,within,0.9780518806310341
depmap,within,0.9794990657861415
depmap,within,0.9829320071708805
depmap,within,0.980319326034248
depmap,within,0.9762282821690659
depmap,within,0.9830495951823226
depmap,within,0.9835878470121576
depmap,within,0.9791310643617253
depmap,within,0.9809458933939281
depmap,within,0.9793578606586362
depmap,within,0.9753561560450499
depmap,within,0.9835124187215076
depmap,within,0.9816739848200456
depmap,within,0.9666808384402023
depmap,within,0.9792906364951465
depmap,within,0.9799454569607319
depmap,within,0.815029446622189
depmap,within,0.9461268466103602
depmap,within,0.9525383335046819
depmap,within,0.9107209649884295
depmap,within,0.92614301629401
depmap,within,0.9456477073484862
depmap,within,0.833620869207616
depmap,within,0.9457276114528477
depmap,within,0.7618386560903856
depmap,within,0.9480795844542703
depmap,within,0.9420068134068039
depmap,within,0.9054988160750773
depmap,within,0.9191716680959108
depmap,within,0.9275315773644689
depmap,within,0.7983554395203428
depmap,within,0.9369229373987549
depmap,within,0.9333480012808756
depmap,within,0.8948020815944839
depmap,within,0.9165800940973814
depmap,within,0.9191716680959107
depmap,within,0.9924179326059687
depmap,within,0.9943917178657714
depmap,within,0.995195475281102
depmap,within,0.9916408041186409
depmap,within,0.9920349227242021
depmap,within,0.9922951849047257
depmap,within,0.9951420350035599
depmap,within,0.9833194006318003
depmap,within,0.9937145696909979
depmap,within,0.9937902213079339
depmap,within,0.9942921760612631
depmap,within,0.9918960949729352
depmap,within,0.993811057106925
depmap,within,0.9947106930196237
depmap,within,0.9928497330313869
depmap,within,0.9932861444722354
depmap,within,0.9931008296139545
depmap,within,0.993163198386413
depmap,within,0.9888174591713799
depmap,within,0.9922322890741508
depmap,within,0.9799303851247717
depmap,within,0.9896942102077977
depmap,within,0.9735703284716842
depmap,within,0.9888034624618103
depmap,within,0.9874426587912059
depmap,within,0.9857606172856378
depmap,within,0.9854753741004495
depmap,within,0.9847563840838192
depmap,within,0.9908730360400708
depmap,within,0.9864764396788673
depmap,within,0.9848921383465756
depmap,within,0.9889711297523424
depmap,within,0.9880322131586774
depmap,within,0.9878843857277906
depmap,within,0.9895947377289908
depmap,within,0.9831655952851591
depmap,within,0.9857550086029667
depmap,within,0.9890310953663327
depmap,within,0.975532800812751
depmap,within,0.9816715194946967
depmap,within,0.9536522605122917
depmap,within,0.9529610466069798
depmap,within,0.9549161456915385
depmap,within,0.9538838169210956
depmap,within,0.9597513604312067
depmap,within,0.9415749724245067
depmap,within,0.9620494432563946
depmap,within,0.9604722248801641
depmap,within,0.9607850054723576
depmap,within,0.9511707969658507
depmap,within,0.9577933620256056
depmap,within,0.9691729100886769
depmap,within,0.9475269668338059
depmap,within,0.9374831125607309
depmap,within,0.9384800751047886
depmap,within,0.9544780144770327
depmap,within,0.957073186613984
depmap,within,0.9335494895405899
depmap,within,0.9647014927363377
depmap,within,0.9517462331174331
depmap,within,0.9838641046896932
depmap,within,0.9860305644591122
depmap,within,0.9814244487346201
depmap,within,0.9815818765984055
depmap,within,0.9800506935496407
depmap,within,0.9828770862952902
depmap,within,0.9795311674326607
depmap,within,0.9855075622620002
depmap,within,0.9777780863698924
depmap,within,0.9810130266961301
depmap,within,0.9857633373064515
depmap,within,0.9749629532119747
depmap,within,0.9786808750300778
depmap,within,0.9882807407013057
depmap,within,0.987592955844428
depmap,within,0.9841989723369506
depmap,within,0.9844582093245772
depmap,within,0.9833068175556292
depmap,within,0.9829925903811519
depmap,within,0.9830758609618914
depmap,across,0.9595929802004608
depmap,across,0.8548933349637755
depmap,across,0.9500906933136005
depmap,across,0.9416452077303813
depmap,across,0.8997201328562067
depmap,across,0.9510850600075742
depmap,across,0.9701355409920988
depmap,across,0.893008658465733
depmap,across,0.9420790706708454
depmap,across,0.9289724159806036
depmap,across,0.9355444983611092
depmap,across,0.9545609824130175
depmap,across,0.7802811374203064
depmap,across,0.7882063677645361
depmap,across,0.9587888684021143
depmap,across,0.9804234714555053
depmap,across,0.8122736633202666
depmap,across,0.9232385322211969
depmap,across,0.9431284892356825
depmap,across,0.8989431441196359
depmap,across,0.9009098433162296
depmap,across,0.9226023820291359
depmap,across,0.9429956409879163
depmap,across,0.878448509359074
depmap,across,0.932463982489945
depmap,across,0.9444080500913359
depmap,across,0.9144435212250281
