dataset,item,eta2_y,anova_p,n_cells,n_tissues,sig,anova_p_bonf,sig_bonf
depmap,MAT2A,0.19338210508401849,6.5069755522818014e-21,1076,29,True,1.3013951104563604e-18,True
depmap,TAMM41,0.04791299326099131,0.0016144015433682362,1076,29,True,0.32288030867364725,False
depmap,DDX3X,0.18207927058533535,4.7525688119725786e-23,1076,29,True,9.505137623945157e-21,True
depmap,NPM1,0.140648432498814,0.08374670439059385,276,21,False,1.0,False
depmap,WNK1,0.20402935614885775,2.464244641088369e-33,1076,29,True,4.928489282176738e-31,True
depmap,SCD,0.1446027251542534,2.0538063227266948e-19,1076,29,True,4.1076126454533897e-17,True
depmap,CDC45,0.03705748493549296,0.02480881012096779,1076,29,True,1.0,False
depmap,ACTB,0.12403855875434361,1.4827261621031402e-19,1076,29,True,2.96545232420628e-17,True
depmap,USP7,0.09665557659869675,2.1653688969036117e-11,1076,29,True,4.330737793807223e-09,True
depmap,TXNRD1,0.15718677200550588,2.5646744434559744e-22,1076,29,True,5.1293488869119485e-20,True
depmap,ORC6,0.07273067238533883,1.5474383079724233e-08,1076,29,True,3.094876615944847e-06,True
depmap,MRPL33,0.06872434201684326,7.177127916595714e-07,1076,29,True,0.0001435425583319143,True
depmap,SDHB,0.2897218407974086,1.1120196632737996e-42,1076,29,True,2.224039326547599e-40,True
depmap,POP5,0.06083890728889869,0.00012025165877390527,1076,29,True,0.024050331754781055,True
depmap,CDC42,0.1484888105170195,1.1749717424210574e-19,1076,29,True,2.3499434848421147e-17,True
depmap,GINS2,0.08462108731208014,2.884842817753643e-07,1076,29,True,5.769685635507286e-05,True
depmap,CTPS1,0.24174987031559247,2.9644924745043876e-32,1076,29,True,5.9289849490087755e-30,True
depmap,ATP6AP1,0.11330269963767776,2.077948972524468e-13,1076,29,True,4.155897945048936e-11,True
depmap,ALDOA,0.08381365298455443,3.0795639970944674e-09,1076,29,True,6.159127994188935e-07,True
depmap,SNRPD1,0.06998709837587141,4.386634831470295e-05,1076,29,True,0.00877326966294059,True
depmap,STX4,0.21755999344635557,1.9089463647777974e-39,1076,29,True,3.817892729555595e-37,True
depmap,RPS2,0.14321868813236802,0.06964724976212208,276,21,False,1.0,False
depmap,EMC3,0.10783709134973105,9.942892638705478e-10,1076,29,True,1.9885785277410956e-07,True
depmap,MAD2L2,0.06781023009205471,5.1052096631288225e-06,1076,29,True,0.0010210419326257645,True
depmap,NCAPD3,0.11051075375956251,8.511961461433759e-12,1076,29,True,1.7023922922867518e-09,True
depmap,NSF,0.02605905147049821,0.15773646280114906,1076,29,False,1.0,False
depmap,CFL1,0.23662667180147368,1.7717813949557495e-37,1076,29,True,3.543562789911499e-35,True
depmap,PPWD1,0.05279784366552654,0.0003717602564535111,1076,29,True,0.07435205129070221,False
depmap,GGPS1,0.09069228005084301,6.608160901944091e-08,1076,29,True,1.3216321803888182e-05,True
depmap,MED12,0.19240776709342094,1.8014846342542827e-26,1076,29,True,3.602969268508566e-24,True
depmap,NMNAT1,0.33177323751742294,2.741385729488531e-36,1076,29,True,5.4827714589770615e-34,True
depmap,HNF1B,0.22077240021340347,6.921575366446562e-17,1076,29,True,1.3843150732893124e-14,True
depmap,ATP6V1F,0.04399294157078948,0.005914809026876389,1076,29,True,1.0,False
depmap,GTPBP4,0.026210465392892904,0.2735536267047545,1076,29,False,1.0,False
depmap,NUP43,0.06707364126482324,0.00012218223580362346,1076,29,True,0.02443644716072469,True
depmap,PSMD7,0.040262727342912474,0.009092004844930881,1076,29,True,1.0,False
depmap,RPS15A,0.04347285703098466,0.028044219788357968,1076,29,True,1.0,False
depmap,RPL7A,0.050588807478666835,0.000632361385363926,1076,29,True,0.1264722770727852,False
depmap,ATP6V1A,0.062445180399445986,1.340520208099839e-05,1076,29,True,0.002681040416199678,True
depmap,LSM8,0.07468075420115468,8.294210208567428e-07,1076,29,True,0.00016588420417134854,True
depmap,TADA1,0.1881903292214087,1.282044308430322e-28,1076,29,True,2.5640886168606438e-26,True
depmap,FARSB,0.061259663989233284,5.240819688953673e-06,1076,29,True,0.0010481639377907346,True
depmap,RACK1,0.08140194930050983,3.3470112883959506e-07,1076,29,True,6.694022576791901e-05,True
depmap,PFN1,0.10493404707273489,1.2455771587958871e-11,1076,29,True,2.4911543175917743e-09,True
depmap,CHAF1B,0.03725884561598508,0.05186276453767358,1076,29,False,1.0,False
depmap,RPL9,0.0473938635468351,1.5188390418974964e-05,1021,29,True,0.003037678083794993,True
depmap,MYH9,0.10389276531731642,3.3512377519982856e-11,1076,29,True,6.7024755039965715e-09,True
depmap,RPL4,0.09102771669622359,7.060988056529851e-13,1076,29,True,1.4121976113059702e-10,True
depmap,UBR4,0.20874700648731823,2.6067367276006365e-23,1076,29,True,5.213473455201273e-21,True
depmap,SKP2,0.13188981184543314,5.603697987835753e-09,1076,29,True,1.1207395975671507e-06,True
depmap,WDR77,0.11993255849515844,2.3444538740402874e-14,1076,29,True,4.688907748080575e-12,True
depmap,PSMD14,0.10076935126901126,9.694502906832834e-07,1076,29,True,0.00019389005813665668,True
depmap,UTP4,0.06974464587683893,1.4897892340426e-05,1076,29,True,0.0029795784680852,True
depmap,RPP25L,0.22694441108852026,9.82674104638239e-40,1076,29,True,1.965348209276478e-37,True
depmap,SNRPA1,0.048701131938304144,0.001333840600199766,1076,29,True,0.2667681200399532,False
