dataset,gene,eta2_X
depmap,GDPD5,0.07574670762515746
depmap,GET1,0.2377777570192654
depmap,GFOD1,0.12963325919082752
depmap,GFPT1,0.2112195098481222
depmap,GFUS,0.22038251513317367
depmap,GGPS1,0.08011327539080577
depmap,GHR,0.25096301516312364
depmap,GINS2,0.13101125668036667
depmap,GLI2,0.26664760422692246
depmap,GLOD4,0.10256738747193846
depmap,GLRX,0.1436566811142984
depmap,GMNN,0.0985966628566368
depmap,GMPS,0.05976137055668593
depmap,GNA11,0.5078193622292545
depmap,GNA15,0.42727230122862553
depmap,GNAI1,0.30536533990674525
depmap,GNAI2,0.2521316844879393
depmap,GNAS,0.10708049985431531
depmap,GNB5,0.1847247180121765
depmap,GNPDA1,0.32472655223663643
depmap,GOLT1B,0.16180180320949375
depmap,GPATCH8,0.14182717244001572
depmap,GPC1,0.4849965743102214
depmap,GPN2,0.09708861265698014
depmap,GPR160,0.3441875896083011
depmap,GPX4,0.13968000089574367
depmap,GRB10,0.25257227664505505
depmap,GRB2,0.19824895815996652
depmap,GRB7,0.5155106803495885
depmap,GRN,0.20211117266525336
depmap,GRWD1,0.1422086142422966
depmap,GSPT1,0.07303015559270909
depmap,GSTZ1,0.08444976152082673
depmap,GTF2A2,0.11876410286201163
depmap,GTF2E2,0.10797214179251348
depmap,GTPBP4,0.15971168258741233
depmap,GTPBP8,0.11266171998023725
depmap,GUK1,0.12276416904171736
depmap,H2AZ2,0.10238339073212402
depmap,H2BC12,0.09838698607778469
depmap,H2BC15,0.04726423895111585
depmap,H2BC21,0.09272038797318624
depmap,HADH,0.19674276226658452
depmap,HAT1,0.10794035827787271
depmap,HDAC2,0.2183781307053655
depmap,HEATR1,0.12977882010937522
depmap,HEBP1,0.39517444680654606
depmap,HERC6,0.17973636503265836
depmap,HERPUD1,0.11717551436752076
depmap,HES1,0.3816298719566039
depmap,HK1,0.2238072659839503
depmap,HLA-DRA,0.4308677656794855
depmap,HMG20B,0.20423482521140174
depmap,HMGA2,0.32624773081731173
depmap,HMGCR,0.07080437108163028
depmap,HMGCS1,0.0543630363604716
depmap,HMOX1,0.233346082426295
depmap,HNF1B,0.358055117766911
depmap,HNRNPH1,0.1871027489318589
depmap,HOMER2,0.1727930372250652
depmap,HOOK2,0.2553151134413659
depmap,HS2ST1,0.1821929039052363
depmap,HSPA1A,0.3307862877984374
depmap,HSPA4,0.11849755079373715
depmap,HSPA8,0.17050158032069374
depmap,HSPD1,0.1523086895148426
depmap,HTRA1,0.37311820180637084
depmap,HYOU1,0.12106136732496937
depmap,IARS2,0.14708326948444025
depmap,ICAM1,0.21723268662556552
depmap,ICAM3,0.4050963627286095
depmap,ICMT,0.18156497186458556
depmap,ID2,0.17714831265524542
depmap,IDE,0.11794391988356898
depmap,IER3,0.37816761282396055
depmap,IFNAR1,0.10645091046886422
depmap,IFRD2,0.15722645542058533
depmap,IGF1R,0.18470140325884152
depmap,IGF2BP2,0.37421878039961465
depmap,IGF2R,0.20162827698052235
depmap,IGFBP3,0.3088628860624591
depmap,IGHMBP2,0.13594368041942095
depmap,IKBKB,0.19927885153748112
depmap,IKBKE,0.16674298384324815
depmap,IKZF1,0.9054065835943337
depmap,IL1B,0.22361038079981824
depmap,IL4R,0.1940587341051523
depmap,ILK,0.2080572673022484
depmap,INPP1,0.24077603651189963
depmap,INPP4B,0.3629014121713765
depmap,INSIG1,0.15646774705326436
depmap,INTS3,0.1277493570501325
depmap,INTS6,0.08215790854177514
depmap,IPO13,0.2711477356091025
depmap,IQGAP1,0.1915962698786839
depmap,ISOC1,0.18723287260554639
depmap,ITFG1,0.19227103733808673
depmap,ITGAE,0.10418330487741986
depmap,ITGAV,0.4749501060062006
depmap,ITGB1BP1,0.13160991540409295
depmap,ITGB5,0.46459987767328154
depmap,JMJD6,0.15931238686314333
depmap,JUN,0.23712980490626778
depmap,KAT6A,0.16156193943582567
depmap,KAT6B,0.18098651515070993
depmap,KCNK1,0.40133680404357824
depmap,KCTD5,0.11011342776699212
depmap,KDM3A,0.12926140509771678
depmap,KDM5A,0.08850699531257537
depmap,KDM5B,0.27468117303400164
depmap,KEAP1,0.10106758626414872
depmap,KIAA0753,0.14156988072970533
depmap,KIF11,0.12702145023565933
depmap,KIF14,0.11922914211272351
depmap,KIF18A,0.10296468225367546
depmap,KIF20A,0.1658340584357499
depmap,KIF2C,0.14675494937195094
depmap,KIF5C,0.333971016235762
depmap,KIT,0.20918028346343723
depmap,KLF5,0.5528497450547671
depmap,KLHDC2,0.11780657335313915
depmap,KLHL21,0.20993071979560413
depmap,KLHL9,0.07251222073969515
depmap,KRAS,0.11029448681782886
depmap,KRT14,0.41335547112125004
depmap,KRT17,0.4317782415653922
depmap,KRT5,0.4456399628557836
depmap,KTN1,0.2066238520323795
depmap,LAMA3,0.45072361539114425
depmap,LAP3,0.12595021866432143
depmap,LBR,0.2614162874962397
depmap,LGALS8,0.1798800820059324
depmap,LGMN,0.4732171199006368
depmap,LIG1,0.18745637959042183
depmap,LIPA,0.15992741090283924
depmap,LONP1,0.22573989723023827
depmap,LOXL1,0.37017263270758927
depmap,LPAR2,0.25611367892511133
depmap,LPGAT1,0.16173071017403923
depmap,LRP10,0.22342351200793045
depmap,LRPAP1,0.18921743350011802
depmap,LRRC41,0.18082190673017237
depmap,LSM6,0.19213571233780408
depmap,LSM8,0.15656770233201706
depmap,LSR,0.5490682779582433
depmap,LYN,0.2639795343762584
depmap,LYRM1,0.1628770829494383
depmap,MACF1,0.21572664551028709
depmap,MAD2L2,0.20061153903076365
depmap,MAGOH,0.10721994515198173
depmap,MALT1,0.17458419528304533
depmap,MAN2B1,0.21935653799121627
depmap,MAP2K5,0.16939224120448945
depmap,MAP3K4,0.1704780338604668
depmap,MAP4K4,0.23751576905882157
depmap,MAP7,0.4546640561999988
depmap,MAPK13,0.4439091727577547
depmap,MAPK1IP1L,0.16693115751055423
depmap,MAPK9,0.1694090752955987
depmap,MAPKAPK2,0.10056387471265928
depmap,MAPKAPK3,0.19942532149069517
depmap,MAPKAPK5,0.17334033811523789
depmap,MAPT,0.2109099161667746
depmap,MARS2,0.3059403603166518
depmap,MAST2,0.210591923702017
depmap,MAT2A,0.1827161825332769
depmap,MBNL1,0.2819425816457893
depmap,MBNL2,0.2692219852302137
depmap,MBOAT7,0.2651006554755329
depmap,MBTPS1,0.09623165426917779
depmap,MCL1,0.10035458848835396
depmap,MCM3,0.20561621896510002
depmap,MCOLN1,0.23387063164415045
depmap,MDM2,0.1573222456018198
depmap,ME2,0.296135292912617
depmap,MED1,0.12652059522854095
depmap,MED12,0.20450583176335704
depmap,MEF2C,0.42350718031917944
depmap,MELK,0.138139567583402
depmap,MEST,0.21896707239670402
depmap,MFSD10,0.16942682571367787
