dataset,confounder,arm,item,eta2,n
depmap,OncotreeLineage,expression,GNB5,0.18050752640251913,1065
depmap,OncotreeLineage,expression,GNPDA1,0.32421915059250983,1065
depmap,OncotreeLineage,expression,GOLT1B,0.15021277135490052,1065
depmap,OncotreeLineage,expression,GPATCH8,0.1325015271556044,1065
depmap,OncotreeLineage,expression,GPC1,0.4842594234593826,1065
depmap,OncotreeLineage,expression,GPN2,0.09141323466999747,1065
depmap,OncotreeLineage,expression,GPR160,0.3432047892906705,1065
depmap,OncotreeLineage,expression,GPX4,0.1355314359361315,1065
depmap,OncotreeLineage,expression,GRB10,0.24818085923373376,1065
depmap,OncotreeLineage,expression,GRB2,0.1817127100988084,1065
depmap,OncotreeLineage,expression,GRB7,0.5137473470439946,1065
depmap,OncotreeLineage,expression,GRN,0.19470052215151384,1065
depmap,OncotreeLineage,expression,GRWD1,0.12344192104921109,1065
depmap,OncotreeLineage,expression,GSPT1,0.05547860549879674,1065
depmap,OncotreeLineage,expression,GSTZ1,0.08106623566240766,1065
depmap,OncotreeLineage,expression,GTF2A2,0.11576756884212797,1065
depmap,OncotreeLineage,expression,GTF2E2,0.09389800294574119,1065
depmap,OncotreeLineage,expression,GTPBP4,0.14899674021013853,1065
depmap,OncotreeLineage,expression,GTPBP8,0.10266610027312664,1065
depmap,OncotreeLineage,expression,GUK1,0.0944944463233576,1065
depmap,OncotreeLineage,expression,H2AZ2,0.09518520572060718,1065
depmap,OncotreeLineage,expression,H2BC12,0.08955680799868315,1065
depmap,OncotreeLineage,expression,H2BC15,0.04201034324276541,1065
depmap,OncotreeLineage,expression,H2BC21,0.08625527692741532,1065
depmap,OncotreeLineage,expression,HADH,0.19402229950818414,1065
depmap,OncotreeLineage,expression,HAT1,0.09141335194814308,1065
depmap,OncotreeLineage,expression,HDAC2,0.20482507305602513,1065
depmap,OncotreeLineage,expression,HEATR1,0.12172226438808513,1065
depmap,OncotreeLineage,expression,HEBP1,0.39589508947824925,1065
depmap,OncotreeLineage,expression,HERC6,0.1752085640963408,1065
depmap,OncotreeLineage,expression,HERPUD1,0.116855914554709,1065
depmap,OncotreeLineage,expression,HES1,0.38058590204725884,1065
depmap,OncotreeLineage,expression,HK1,0.2224814298177182,1065
depmap,OncotreeLineage,expression,HLA-DRA,0.4318258311928723,1065
depmap,OncotreeLineage,expression,HMG20B,0.19559207591993208,1065
depmap,OncotreeLineage,expression,HMGA2,0.3219019174448146,1065
