,eta2
PTPRK,0.5363817162541661
PTTG1,0.11212479531151372
PUF60,0.11702290919903212
PWP1,0.1344605000450995
PXN,0.5482849994005292
PYCR1,0.1150714457220936
PYGL,0.2682685858465092
RAB11FIP2,0.18003237682951362
RAB21,0.03455691633424451
RAB27A,0.30751104945486074
RAB31,0.3541927312190556
RAB4A,0.15079006989044635
RAC1,0.44456076128776056
RAD51C,0.17266861409539577
RAD9A,0.1981797868768334
RAE1,0.10434860763219378
RAF1,0.2159057092833768
RAI14,0.5998123227140547
RALA,0.2130051796499464
RALB,0.2644134542501611
RALGDS,0.19715590497481364
RAP1GAP,0.27302649060865464
RARA,0.18246888578167
RARB,0.249248490382777
RARG,0.38771176280015446
RASA1,0.22568221630277485
RASAL1,0.14710552280690958
RB1,0.12262380072791364
RBKS,0.234293758418095
RBM15B,0.22812291104087995
RBM6,0.31077720820212973
REEP5,0.30600168932749816
RELB,0.23806733163105165
RET,0.26468786350684653
RFC2,0.11961198030403902
RFC5,0.10754744468881271
RFNG,0.1557166859066295
RFX5,0.3599494277041518
RGS2,0.1659363279797523
RHEB,0.3869741727081
RHOA,0.2429263771748797
RIPK1,0.15225590113251516
RNF167,0.09028775132488567
RNH1,0.1813393738173079
RNMT,0.12897971772606626
RNPS1,0.15176063850809834
RORA,0.06481381454418308
RORC,0.12180661802846593
RPA1,0.08924538319854815
RPA2,0.25285151901205505
RPA3,0.12048363365025096
RPIA,0.33041133022669256
RPL39L,0.22683600879921456
RPN1,0.24858155886099537
RPS5,0.20055286249014917
RPS6,0.29711954788941364
RPS6KA1,0.34828596564872977
RPS6KB2,0.11083232161876906
RRAGA,0.2503223478758881
RRM1,0.09147785645989465
RRM2,0.13558375075954127
RRP12,0.07078796122660116
RRP1B,0.2521875531502797
RRP8,0.196609761224107
RRS1,0.05509504782701525
RSU1,0.18210631283137974
RTN2,0.1416701640989461
RUVBL1,0.11898737403579884
RXRA,0.37468922183717285
RXRB,0.1655572729497883
