dataset,variant,method,tau,auroc,sem,n,published,abs_diff_vs_published
ctrpv2,marginal,residualized,0.6,0.19377413844325608,0.0032525282055083943,330,,
ctrpv2,marginal,residualized,0.7,0.10484995009020395,0.0037092966568466126,330,,
ctrpv2,all4,residualized,0.3,0.38759147935976945,0.0021037923578830714,226,,
ctrpv2,all4,residualized,0.4,0.33131997499555493,0.0024995032739380083,226,,
ctrpv2,all4,residualized,0.5,0.26398896333110716,0.0029609151252767214,226,,
ctrpv2,all4,residualized,0.6,0.20059810428596214,0.003728649466035657,226,,
ctrpv2,all4,residualized,0.7,0.11225552729616466,0.004679027128429777,226,,
ctrpv2,full,irm,0.3,0.5560958392298797,0.003424719810091901,440,0.5560958392298797,0.0
ctrpv2,full,irm,0.4,0.5365045806906272,0.003931998212318426,440,0.5365045806906272,0.0
ctrpv2,full,irm,0.5,0.4951752097240507,0.004334901506868856,440,0.4951752097240507,0.0
ctrpv2,full,irm,0.6,0.45081148936847465,0.005245627397792467,440,0.4508114893684746,5.551115123125783e-17
ctrpv2,full,irm,0.7,0.3454875133932251,0.006035866392391631,440,0.3454875133932251,0.0
ctrpv2,a61,irm,0.3,0.5368255993748545,0.004638047701224542,232,,
ctrpv2,a61,irm,0.4,0.5135294945965555,0.0052599432848046196,232,,
ctrpv2,a61,irm,0.5,0.47062414991379936,0.005762388220594123,232,,
ctrpv2,a61,irm,0.6,0.4257561591446924,0.007243441290927817,232,,
ctrpv2,a61,irm,0.7,0.33030280530632244,0.008861049174297806,232,,
ctrpv2,marginal,irm,0.3,0.5416593820836829,0.003803419897406219,330,,
ctrpv2,marginal,irm,0.4,0.5189882690214916,0.004313092642787577,330,,
ctrpv2,marginal,irm,0.5,0.47612191891993216,0.0047889205692472694,330,,
ctrpv2,marginal,irm,0.6,0.4294819253458959,0.0059247482335585125,330,,
ctrpv2,marginal,irm,0.7,0.33250089288167256,0.007082521731134828,330,,
ctrpv2,all4,irm,0.3,0.5340839730640551,0.004608172011534094,226,,
ctrpv2,all4,irm,0.4,0.5106421319299483,0.005247796815061184,226,,
ctrpv2,all4,irm,0.5,0.46776486202070794,0.0057556784342248524,226,,
ctrpv2,all4,irm,0.6,0.42289288503011824,0.007294735774274859,226,,
ctrpv2,all4,irm,0.7,0.32800260485615795,0.008986699376156537,226,,
ctrpv2,full,within_tissue,0.3,0.45871969279515085,0.004803058242212729,440,0.4587196927951508,5.551115123125783e-17
ctrpv2,full,within_tissue,0.4,0.4115245807625376,0.005532321096828966,440,0.4115245807625376,0.0
ctrpv2,full,within_tissue,0.5,0.34497782846292774,0.006269970159224744,440,0.3449778284629277,5.551115123125783e-17
ctrpv2,full,within_tissue,0.6,0.2895950212471352,0.0069472481544898355,440,0.2895950212471352,0.0
ctrpv2,full,within_tissue,0.7,0.17776965026511718,0.005635416772895179,440,0.1777696502651171,8.326672684688674e-17
ctrpv2,a61,within_tissue,0.3,0.43545925153554915,0.006269154331914329,232,,
ctrpv2,a61,within_tissue,0.4,0.38605914398638363,0.007264513141795512,232,,
ctrpv2,a61,within_tissue,0.5,0.31647552535954565,0.008209024761525269,232,,
ctrpv2,a61,within_tissue,0.6,0.2603617686298657,0.009228191636169685,232,,
ctrpv2,a61,within_tissue,0.7,0.15719211450485093,0.007437705623791918,232,,
ctrpv2,marginal,within_tissue,0.3,0.44137518594124187,0.005227849407564342,330,,
ctrpv2,marginal,within_tissue,0.4,0.3918554074201914,0.006043573896156352,330,,
ctrpv2,marginal,within_tissue,0.5,0.32158206032378217,0.006835883359571068,330,,
ctrpv2,marginal,within_tissue,0.6,0.2634446486928105,0.007591425362533355,330,,
ctrpv2,marginal,within_tissue,0.7,0.1567968900244512,0.006135236387212127,330,,
ctrpv2,all4,within_tissue,0.3,0.4310668761919392,0.006170129369868825,226,,
ctrpv2,all4,within_tissue,0.4,0.38120657297699895,0.007175153736999547,226,,
ctrpv2,all4,within_tissue,0.5,0.31129752346346734,0.008134708377174373,226,,
ctrpv2,all4,within_tissue,0.6,0.25509058711980365,0.009181669162789497,226,,
ctrpv2,all4,within_tissue,0.7,0.15307675232738818,0.007407855289141943,226,,
ctrpv2,full,dann,0.3,0.5178838651705093,0.003641208585166911,440,0.5178838651705093,0.0
ctrpv2,full,dann,0.4,0.4897097337878068,0.004253165516458069,440,0.4897097337878068,0.0
ctrpv2,full,dann,0.5,0.4321240431753676,0.004701320884971669,440,0.4321240431753676,0.0
ctrpv2,full,dann,0.6,0.37252196333078685,0.005494510137774651,440,0.3725219633307868,5.551115123125783e-17
ctrpv2,full,dann,0.7,0.2859580620346713,0.005683835982856486,440,0.2859580620346713,0.0
ctrpv2,a61,dann,0.3,0.5032641603843346,0.004590290719672758,232,,
ctrpv2,a61,dann,0.4,0.47181136087153386,0.005317396664964898,232,,
ctrpv2,a61,dann,0.5,0.41471023980586663,0.006038913297074062,232,,
ctrpv2,a61,dann,0.6,0.3510286118757848,0.0069075519817480046,232,,
ctrpv2,a61,dann,0.7,0.2715237179687582,0.007756790582050098,232,,
ctrpv2,marginal,dann,0.3,0.50287851653329,0.00377159532060416,330,,
ctrpv2,marginal,dann,0.4,0.47131773357686985,0.004372179801901649,330,,
ctrpv2,marginal,dann,0.5,0.412812573739726,0.004945027468928253,330,,
ctrpv2,marginal,dann,0.6,0.34766109095153214,0.005694257256064011,330,,
ctrpv2,marginal,dann,0.7,0.2686030751760579,0.006420153768369142,330,,
ctrpv2,all4,dann,0.3,0.49974997978300556,0.004475305824567718,226,,
ctrpv2,all4,dann,0.4,0.46780635695315376,0.005187175903307578,226,,
ctrpv2,all4,dann,0.5,0.41024249661725487,0.0058937266304484315,226,,
ctrpv2,all4,dann,0.6,0.3460567025482759,0.006762840359077202,226,,
ctrpv2,all4,dann,0.7,0.26748984400281345,0.0077746658833382064,226,,
ctrpv2,full,adae,0.3,0.5328000298480048,0.0037242776199689835,440,0.5328000298480048,0.0
ctrpv2,full,adae,0.4,0.5228996149199637,0.004511581867226486,440,0.5228996149199637,0.0
ctrpv2,full,adae,0.5,0.5163406130293547,0.005930936839314274,440,0.5163406130293547,0.0
ctrpv2,full,adae,0.6,0.521296075248281,0.007984470330544067,440,0.521296075248281,0.0
ctrpv2,full,adae,0.7,0.4864391878897772,0.009796276848008023,440,0.4864391878897772,0.0
ctrpv2,a61,adae,0.3,0.542557920567888,0.005158894843134029,232,,
ctrpv2,a61,adae,0.4,0.5316592304524055,0.006280592041980181,232,,
ctrpv2,a61,adae,0.5,0.5288318811811619,0.00839435739695088,232,,
ctrpv2,a61,adae,0.6,0.5338071920578575,0.01101949828873091,232,,
ctrpv2,a61,adae,0.7,0.5037769250007815,0.013609256194153575,232,,
