target,method,auroc_coessG_0.01,auroc_coessW_0.01,auroc_string,auroc_RANDOM,auroc_CORUM
CRKL,irm,0.5962264150943397,0.5962264150943397,0.5748178348369187,0.47330188679245283,
CRKL,dann,0.5263207547169811,0.5263207547169811,0.4911086051353227,0.5512264150943397,
CRKL,adae,0.7015094339622642,0.7015094339622642,0.649679042331714,0.56,
CTPS1,marginal,0.4400943396226415,0.5316037735849057,0.3139097744360902,0.40622641509433965,
CTPS1,residualized,0.5132075471698113,0.4784905660377358,0.3341165413533834,0.45849056603773586,
CTPS1,within_tissue,0.4816981132075472,0.56,0.3480576441102756,0.46367924528301885,
CTPS1,irm,0.42188679245283023,0.4884905660377359,0.3895676691729323,0.42103773584905657,
CTPS1,dann,0.5266037735849056,0.5491509433962265,0.5034461152882206,0.4464150943396226,
CTPS1,adae,0.2262264150943396,0.19773584905660377,0.3598057644110275,0.389811320754717,
DBR1,marginal,0.5633962264150943,0.564622641509434,,0.5973584905660377,
DBR1,residualized,0.6679245283018869,0.6372641509433963,,0.5795283018867925,
DBR1,within_tissue,0.6100943396226415,0.6172641509433963,,0.6189622641509434,
DBR1,irm,0.5340566037735849,0.5017924528301887,,0.4936792452830189,
DBR1,dann,0.5258490566037737,0.5312264150943395,,0.6783962264150943,
DBR1,adae,0.49849056603773584,0.524433962264151,,0.5225471698113208,
DDX3X,marginal,0.5499056603773584,0.49000000000000005,0.48881537492123506,0.47584905660377363,0.5331608334468201
DDX3X,residualized,0.6812264150943396,0.6069811320754717,0.511184625078765,0.504245283018868,0.5003404603023287
DDX3X,within_tissue,0.5885849056603774,0.5286792452830188,0.5346565847511027,0.4659433962264151,0.5613963411866176
DDX3X,irm,0.5349056603773585,0.5302830188679245,0.5355229993698802,0.48386792452830185,0.5347496481910209
DDX3X,dann,0.5293396226415095,0.4442452830188679,0.5175645872715816,0.44113207547169814,0.5158654500885196
DDX3X,adae,0.5037735849056604,0.47962264150943396,0.44045368620037806,0.48952830188679247,0.4034681556130555
DHFR,marginal,0.37820754716981136,0.3245283018867925,0.6279425612052731,0.6223584905660378,
DHFR,residualized,0.41556603773584905,0.3427358490566038,0.4792843691148776,0.5091509433962264,
DHFR,within_tissue,0.4370754716981132,0.3675471698113208,0.6383003766478342,0.6256603773584906,
DHFR,irm,0.34349056603773587,0.30811320754716987,0.6592514124293786,0.46386792452830183,
DHFR,dann,0.4495283018867925,0.3997169811320755,0.5177730696798494,0.5639622641509434,
DHFR,adae,0.12556603773584907,0.1959433962264151,0.3868879472693032,0.4138679245283019,
DNAJC9,marginal,0.519433962264151,0.445566037735849,0.7059099437148217,0.5463207547169812,
DNAJC9,residualized,0.5849056603773585,0.41481132075471705,0.7066135084427768,0.525566037735849,
DNAJC9,within_tissue,0.5391509433962265,0.4759433962264151,0.7063789868667917,0.5072641509433963,
DNAJC9,irm,0.4,0.400188679245283,0.7619606003752344,0.5483018867924527,
DNAJC9,dann,0.614056603773585,0.43386792452830186,0.6552532833020638,0.6061320754716981,
DNAJC9,adae,0.18924528301886792,0.33499999999999996,0.3803939962476548,0.6522641509433963,
DNM2,marginal,0.47584905660377363,0.4650943396226415,0.42213844381610643,0.5533018867924528,
DNM2,residualized,0.5562264150943397,0.5027358490566038,0.40821028379935065,0.5999056603773585,
DNM2,within_tissue,0.5084905660377359,0.4935849056603773,0.40611582364645515,0.5371698113207547,
DNM2,irm,0.47,0.4728301886792453,0.5739868049010367,0.6318867924528302,
DNM2,dann,0.42066037735849054,0.39707547169811325,0.40883862184521935,0.5778301886792453,
DNM2,adae,0.4158490566037736,0.4545283018867924,0.6406953607707614,0.5350943396226415,
DONSON,marginal,0.6306603773584906,0.6306603773584906,0.42371553884711777,0.5991509433962264,
DONSON,residualized,0.48584905660377364,0.48584905660377364,0.4608395989974937,0.3739622641509434,
DONSON,within_tissue,0.6381132075471698,0.6381132075471698,0.45614035087719296,0.5228301886792452,
DONSON,irm,0.6988679245283019,0.6988679245283019,0.38298872180451127,0.5333018867924528,
DONSON,dann,0.6226415094339622,0.6226415094339622,0.4342105263157895,0.6311320754716981,
DONSON,adae,0.46556603773584904,0.46556603773584904,0.47681704260651625,0.574622641509434,
DPAGT1,marginal,0.5491509433962264,0.5491509433962264,0.5235863792564823,0.6096226415094339,
DPAGT1,residualized,0.6205660377358491,0.6205660377358491,0.7935020306154327,0.5419811320754717,
