item,method,K,contamination
AZD8055,residualized,100,0.14
AZD8055,irm,10,0.0
AZD8055,irm,50,0.14
AZD8055,irm,100,0.17
AZD8055,within_tissue,10,0.0
AZD8055,within_tissue,50,0.06
AZD8055,within_tissue,100,0.11
AZD8055,dann,10,0.0
AZD8055,dann,50,0.16
AZD8055,dann,100,0.2
AZD8055,adae,10,0.1
AZD8055,adae,50,0.32
AZD8055,adae,100,0.29
Aacocf3,marginal,10,0.3
Aacocf3,marginal,50,0.16
Aacocf3,marginal,100,0.21
Aacocf3,residualized,10,0.1
Aacocf3,residualized,50,0.1
Aacocf3,residualized,100,0.08
Aacocf3,irm,10,0.2
Aacocf3,irm,50,0.2
Aacocf3,irm,100,0.24
Aacocf3,within_tissue,10,0.0
Aacocf3,within_tissue,50,0.08
Aacocf3,within_tissue,100,0.09
Aacocf3,dann,10,0.2
Aacocf3,dann,50,0.16
Aacocf3,dann,100,0.23
Aacocf3,adae,10,0.0
Aacocf3,adae,50,0.28
Aacocf3,adae,100,0.25
Afatinib,marginal,10,0.3
Afatinib,marginal,50,0.32
Afatinib,marginal,100,0.31
Afatinib,residualized,10,0.3
Afatinib,residualized,50,0.26
Afatinib,residualized,100,0.24
Afatinib,irm,10,0.3
Afatinib,irm,50,0.3
Afatinib,irm,100,0.25
Afatinib,within_tissue,10,0.0
Afatinib,within_tissue,50,0.16
Afatinib,within_tissue,100,0.22
Afatinib,dann,10,0.3
Afatinib,dann,50,0.32
Afatinib,dann,100,0.26
Afatinib,adae,10,0.4
Afatinib,adae,50,0.34
Afatinib,adae,100,0.32
Alisertib,marginal,10,0.2
Alisertib,marginal,50,0.28
Alisertib,marginal,100,0.28
Alisertib,residualized,10,0.1
Alisertib,residualized,50,0.18
Alisertib,residualized,100,0.16
Alisertib,irm,10,0.2
Alisertib,irm,50,0.16
Alisertib,irm,100,0.23
Alisertib,within_tissue,10,0.1
Alisertib,within_tissue,50,0.14
Alisertib,within_tissue,100,0.12
Alisertib,dann,10,0.1
Alisertib,dann,50,0.18
Alisertib,dann,100,0.18
Alisertib,adae,10,0.2
Alisertib,adae,50,0.26
Alisertib,adae,100,0.27
Alpelisib,marginal,10,0.0
Alpelisib,marginal,50,0.22
Alpelisib,marginal,100,0.26
Alpelisib,residualized,10,0.2
Alpelisib,residualized,50,0.14
Alpelisib,residualized,100,0.17
Alpelisib,irm,10,0.2
Alpelisib,irm,50,0.22
Alpelisib,irm,100,0.26
Alpelisib,within_tissue,10,0.0
Alpelisib,within_tissue,50,0.08
Alpelisib,within_tissue,100,0.14
Alpelisib,dann,10,0.0
Alpelisib,dann,50,0.18
Alpelisib,dann,100,0.18
Alpelisib,adae,10,0.2
Alpelisib,adae,50,0.14
Alpelisib,adae,100,0.14
Axitinib,marginal,10,0.4
Axitinib,marginal,50,0.44
Axitinib,marginal,100,0.37
Axitinib,residualized,10,0.1
Axitinib,residualized,50,0.22
Axitinib,residualized,100,0.17
Axitinib,irm,10,0.1
Axitinib,irm,50,0.28
Axitinib,irm,100,0.28
Axitinib,within_tissue,10,0.1
Axitinib,within_tissue,50,0.26
Axitinib,within_tissue,100,0.22
Axitinib,dann,10,0.3
Axitinib,dann,50,0.3
Axitinib,dann,100,0.25
Axitinib,adae,10,0.2
Axitinib,adae,50,0.22
Axitinib,adae,100,0.22
Azacitidine,marginal,10,0.3
