item,method,K,contamination
DONSON,residualized,100,0.09
DONSON,irm,10,0.4
DONSON,irm,50,0.3
DONSON,irm,100,0.26
DONSON,within_tissue,10,0.1
DONSON,within_tissue,50,0.14
DONSON,within_tissue,100,0.16
DONSON,dann,10,0.4
DONSON,dann,50,0.28
DONSON,dann,100,0.25
DONSON,adae,10,0.9
DONSON,adae,50,0.64
DONSON,adae,100,0.44
DPAGT1,marginal,10,0.0
DPAGT1,marginal,50,0.2
DPAGT1,marginal,100,0.22
DPAGT1,residualized,10,0.1
DPAGT1,residualized,50,0.1
DPAGT1,residualized,100,0.12
DPAGT1,irm,10,0.0
DPAGT1,irm,50,0.18
DPAGT1,irm,100,0.17
DPAGT1,within_tissue,10,0.0
DPAGT1,within_tissue,50,0.08
DPAGT1,within_tissue,100,0.12
DPAGT1,dann,10,0.1
DPAGT1,dann,50,0.2
DPAGT1,dann,100,0.18
DPAGT1,adae,10,0.3
DPAGT1,adae,50,0.54
DPAGT1,adae,100,0.47
DTYMK,marginal,10,0.2
DTYMK,marginal,50,0.28
DTYMK,marginal,100,0.26
DTYMK,residualized,10,0.2
DTYMK,residualized,50,0.2
DTYMK,residualized,100,0.22
DTYMK,irm,10,0.3
DTYMK,irm,50,0.3
DTYMK,irm,100,0.27
DTYMK,within_tissue,10,0.2
DTYMK,within_tissue,50,0.14
DTYMK,within_tissue,100,0.16
DTYMK,dann,10,0.2
DTYMK,dann,50,0.2
DTYMK,dann,100,0.23
DTYMK,adae,10,0.8
DTYMK,adae,50,0.58
DTYMK,adae,100,0.53
DUT,marginal,10,0.0
DUT,marginal,50,0.18
DUT,marginal,100,0.18
DUT,residualized,10,0.1
DUT,residualized,50,0.14
DUT,residualized,100,0.18
DUT,irm,10,0.1
DUT,irm,50,0.24
DUT,irm,100,0.27
DUT,within_tissue,10,0.0
DUT,within_tissue,50,0.04
DUT,within_tissue,100,0.1
DUT,dann,10,0.0
DUT,dann,50,0.14
DUT,dann,100,0.17
DUT,adae,10,1.0
DUT,adae,50,0.74
