dataset,item,condition,xai,contam50,eta2,n_cell_lines
depmap,PFN1,residualized,lrp_eps,0.14,0.03420253661117325,1076
depmap,PFN1,residualized,lrp_ab,0.2,0.02453450891973658,1076
depmap,PFN1,residualized,int_grad,0.14,0.03075415011894205,1076
depmap,PFN1,residualized,lime,0.18,0.027119803560777915,1076
depmap,PPWD1,marginal,shap,0.22,0.10337221092823266,1076
depmap,PPWD1,marginal,grad_x_input,0.24,0.09443861757232376,1076
depmap,PPWD1,marginal,lrp_eps,0.24,0.09544328378993487,1076
depmap,PPWD1,marginal,lrp_ab,0.18,0.2691016137432992,1076
depmap,PPWD1,marginal,int_grad,0.24,0.09565529335046395,1076
depmap,PPWD1,marginal,lime,0.2,0.03809228308055601,1076
depmap,PPWD1,residualized,shap,0.04,0.033536455456709434,1076
depmap,PPWD1,residualized,grad_x_input,0.02,0.0320793719664574,1076
depmap,PPWD1,residualized,lrp_eps,0.02,0.03927816439133565,1076
depmap,PPWD1,residualized,lrp_ab,0.14,0.04253518711237697,1076
depmap,PPWD1,residualized,int_grad,0.02,0.03278099692908141,1076
depmap,PPWD1,residualized,lime,0.02,0.025728570766030284,1076
