dataset,item,condition,xai,contam50,eta2,n_cell_lines
depmap,ORC6,residualized,shap,0.04,0.0299192341219775,1076
depmap,ORC6,residualized,grad_x_input,0.06,0.0294812012418267,1076
depmap,ORC6,residualized,lrp_eps,0.06,0.0385899615249771,1076
depmap,ORC6,residualized,lrp_ab,0.22,0.0170911171612612,1076
depmap,ORC6,residualized,int_grad,0.08,0.0293006432672644,1076
depmap,ORC6,residualized,lime,0.12,0.0249560119176292,1076
depmap,SNRPD1,marginal,shap,0.22,0.1076598597826963,1076
depmap,SNRPD1,marginal,grad_x_input,0.26,0.1011333272898394,1076
depmap,SNRPD1,marginal,lrp_eps,0.3,0.100898401086873,1076
depmap,SNRPD1,marginal,lrp_ab,0.44,0.4630300866937767,1076
depmap,SNRPD1,marginal,int_grad,0.28,0.102403418475524,1076
depmap,SNRPD1,marginal,lime,0.2,0.0368787409472003,1076
depmap,SNRPD1,residualized,shap,0.18,0.0354900268867763,1076
depmap,SNRPD1,residualized,grad_x_input,0.12,0.0343730600560938,1076
depmap,SNRPD1,residualized,lrp_eps,0.12,0.0459021223493643,1076
depmap,SNRPD1,residualized,lrp_ab,0.26,0.0165154390093594,1076
depmap,SNRPD1,residualized,int_grad,0.14,0.0347134628162661,1076
depmap,SNRPD1,residualized,lime,0.1,0.0265455893940442,1076
depmap,PSMD7,marginal,shap,0.24,0.0994887190307581,1076
depmap,PSMD7,marginal,grad_x_input,0.26,0.0926856360127301,1076
depmap,PSMD7,marginal,lrp_eps,0.26,0.0937382865957226,1076
depmap,PSMD7,marginal,lrp_ab,0.2,0.2604989052478407,1076
depmap,PSMD7,marginal,int_grad,0.26,0.0937882618550926,1076
depmap,PSMD7,marginal,lime,0.26,0.0396295598358704,1076
depmap,PSMD7,residualized,shap,0.14,0.0351102352685152,1076
depmap,PSMD7,residualized,grad_x_input,0.16,0.0328714332683054,1076
depmap,PSMD7,residualized,lrp_eps,0.14,0.0428591816555318,1076
depmap,PSMD7,residualized,lrp_ab,0.22,0.0269351898300389,1076
depmap,PSMD7,residualized,int_grad,0.1,0.0335540961718817,1076
depmap,PSMD7,residualized,lime,0.18,0.0275180667108317,1076
depmap,FAU,marginal,shap,0.22,0.1081906191095799,1076
depmap,FAU,marginal,grad_x_input,0.26,0.1004282947980585,1076
depmap,FAU,marginal,lrp_eps,0.26,0.1010145680430322,1076
depmap,FAU,marginal,lrp_ab,0.18,0.539018405094943,1076
depmap,FAU,marginal,int_grad,0.24,0.1014165663041829,1076
depmap,FAU,marginal,lime,0.2,0.0386322814097216,1076
depmap,FAU,residualized,shap,0.04,0.0349634432003412,1076
