Symbol,variance
FKBP10,4.775087457335083
RAMP1,4.770476159223149
ALOX5AP,4.765152147530239
GPR160,4.7638816254008285
DENND2D,4.762295785026998
LGALS3BP,4.759910320028761
SYTL2,4.747827367092175
PPARG,4.7398143051127875
SERPINB5,4.738164174845433
ARHGAP15,4.731275269148125
FLRT3,4.726261832460143
ADM,4.725614289517663
GNG12,4.724448925650837
Unnamed: 16180,4.719013407626997
FAM20C,4.717973341049419
ID2,4.710025269711334
RARRES3,4.7090628522396925
CD68,4.708656496294578
ALDH1A3,4.700468677740286
TIMP2,4.694458911918864
EIF1AY,4.693489982599259
ME1,4.6918736524749685
DUSP5,4.680638113070229
Unnamed: 11323,4.675385763413941
TPBG,4.663067685177404
KRTCAP3,4.659676864528743
CAPG,4.658961094965217
LOXL1,4.654593079219916
S100A13,4.6532420889567065
MAGEA4,4.6416050512175
THBS1,4.635498419350444
KYNU,4.6221200243081775
RND3,4.607066812072156
TENM2,4.589355299480653
RHOH,4.56205875151836
IFI44L,4.552180565947846
LY96,4.551168830436674
RAB17,4.551149195638443
IGJ,4.502997893540191
CD52,4.497364560221434
FAM83H,4.483439264725298
CCND1,4.480971949590446
MSN,4.48032761073162
P4HA2,4.479400462553379
HLA-B,4.47648732066026
HSBP1L1,4.470262649897305
RARRES1,4.465371859852302
LXN,4.458653505495303
S100A8,4.458641562778409
KHDRBS3,4.458575839218159
LDHB,4.441594302607108
PSMB9,4.439856156132711
MOCOS,4.438342455133428
SUSD3,4.436183507172692
YAP1,4.430416754883328
PERP,4.427669187754535
PTX3,4.407142589288537
AP1M2,4.399733567600229
DPP4,4.387983626238182
HLA-C,4.377978047541119
CYP1B1,4.370820247328092
DCBLD2,4.350258180802285
MAGEC2,4.349488236408305
PDZK1IP1,4.337729085896023
DUSP23,4.335085552085769
POSTN,4.3348962594578735
JUP,4.33480958818054
RGCC,4.325103017803589
AXL,4.31967013871733
SEMA3A,4.317605461306011
STMN3,4.312843391093155
GPRC5A,4.294639073459357
TCF4,4.290162621760106
ISG20,4.274259732040205
P2RY8,4.272177217463622
POPDC3,4.268033538146467
SYT1,4.266554179877355
ARL4C,4.266522086928571
CDKN2A,4.264983392748075
TFF1,4.264560091544133
TBC1D2,4.257648362658995
GCNT3,4.251311707881967
KCNN4,4.250789515077943
CENPV,4.250471729075207
TMEM158,4.246275601414171
COL5A1,4.246139030844679
ITGA6,4.24210764383302
BCL2A1,4.23457363141987
LAYN,4.22722134938413
STC2,4.22274800151911
ARMCX2,4.210630778404877
CEACAM5,4.209835921940081
VAMP5,4.195771563563515
RPL39L,4.189897600347708
KRT5,4.188460751558018
ANXA10,4.184559016098958
NCKAP1,4.1679336941561225
CNRIP1,4.167557601184415
MGLL,4.142158720343105
ID3,4.141818483385213
DNER,4.14137806887901
RGS20,4.138067854809776
SLFN11,4.13578286842963
PIR,4.131186357292346
TMEM47,4.129651974029465
IGF2,4.1281718551202395
ISG15,4.127705606158568
XIST,4.115808750164303
ANKRD1,4.1125187584502845
SERPINF1,4.1003867207214135
EDN1,4.098798567558302
TMC4,4.09198836603484
COL11A1,4.085496767845876
HSPA2,4.077483445879922
IRX3,4.0741949797094685
EMP1,4.070651168178937
LYZ,4.066452352086922
ALPK2,4.046804945497572
FST,4.046565113239764
ASCL1,4.043398076541397
GPX8,4.041187865776728
APOC1,4.040009628363963
INHBE,4.037959884991507
HTATIP2,4.024984468345351
DOCK11,4.023013382178167
ST6GALNAC2,4.022127710338633
SLC35G2,4.019968975682637
NT5E,4.017386690166266
KDELR3,4.0147132794616915
SPATS2L,4.008606691099525
ADAMTS1,4.00694998016513
TMEM45A,4.006479799472519
RGS2,4.00266067729222
AMIGO2,4.00114286822066
NEFL,3.9980579236329628
PCP4,3.9962882205734727
MFAP2,3.9947317255622274
ITPRIPL2,3.988779242116316
DDX3Y,3.988420892918143
CLIC3,3.987458826982807
LINC00341,3.9834701677681825
CA12,3.979226235264268
Unnamed: 11276,3.9760460603664693
BCL11B,3.9738077369441838
FAM213A,3.9693687439479874
PAPSS2,3.9570408071450642
SERPINB6,3.9564986597189735
