target,r_wt_baseline,r_wt_between_tissue,r_wt_irm,r_wt_marginal,r_wt_residualized,r_wt_within_tissue,sig_marginal,sig_residualized,sig_irm,sig_within_tissue,in_a61,in_marginal,in_all4
KIF11,-0.255521072217376,-0.2551671329864641,0.0382686737428857,0.0285232108047169,0.018267990819666,0.0285232108047169,False,False,False,False,False,False,False
KIF18A,-0.2595537877104268,-0.2591283606872965,0.1408615340021277,0.2366726157333273,0.2043306024980235,0.2366726157333273,True,True,True,True,True,True,True
KLF5,-0.2313851233076142,-0.230786329481783,0.2270279771316949,0.4351553434179409,0.3936690979655619,0.4351553434179409,True,True,True,True,True,True,True
KRAS,-0.2728786058527004,-0.272474500367298,0.2476749837076929,0.3729299834067382,0.2651687363419643,0.3729299834067382,True,True,True,True,True,True,True
LONP1,-0.2888901275732908,-0.2885337324047723,0.0978589519417234,0.1610704274924053,0.0808819189810369,0.1610704274924053,True,True,True,True,True,True,True
LSM8,-0.2644922050376995,-0.2638767310997899,0.0436272587703533,0.0640274001803215,0.0355513574527921,0.0640274001803215,True,False,False,True,False,True,False
MAD2L2,-0.255674569306702,-0.2551053000136753,0.1273504338164917,0.193795995896974,0.1749677849658701,0.193795995896974,True,True,True,True,True,True,True
MAGOH,-0.2673138144607381,-0.2664869206912124,0.188835514254767,0.3118905611335454,0.2796192876565411,0.3118905611335454,True,True,True,True,True,True,True
MARS2,-0.275839233501584,-0.2755669293758816,0.1551208987582233,0.2313706868482611,0.2100358622173054,0.2313706868482611,True,True,True,True,True,True,True
MAT2A,-0.2727374196469142,-0.2720509545549072,0.0577365591917952,0.1224709624662425,0.0878489545328866,0.1224709624662425,True,True,True,True,True,True,True
MCL1,-0.2927984363738086,-0.2924057678684643,0.204928942476137,0.3250473228955327,0.3348042051021785,0.3250473228955327,True,True,True,True,True,True,True
MDM2,-0.2693071905522554,-0.2691282981721698,0.4053353186948948,0.5934622041354853,0.5515298587614494,0.5934622041354853,True,True,True,True,True,True,True
MED1,-0.2875133315351006,-0.2867621422619602,0.239007821848648,0.3507835500967068,0.2871314667386007,0.3507835500967068,True,True,True,True,True,True,True
MED12,-0.2631894891171641,-0.2630541304592205,0.2249167362049454,0.3145521344203796,0.258523642080857,0.3145521344203796,True,True,True,True,True,True,True
MMS22L,-0.2733776528157712,-0.2731385492327842,0.0578919844061068,0.09676007380555,0.0422485423170533,0.09676007380555,True,False,True,True,False,True,False
MRPL33,-0.2806470145953328,-0.2804780482616945,0.1231623692031145,0.2376280661343667,0.1928092479450316,0.2376280661343667,True,True,True,True,True,True,True
MRPL57,-0.2839322795415747,-0.283420727960587,0.1404898080151162,0.1808715265941578,0.1740614998599393,0.1808715265941578,True,True,True,True,True,True,True
