dataset,seed,item,method,n_cells,n_tissues,n_eff_foldsym,wt_tissue,wt_tissue_recon,wt_foldsym,wt_foldsym_stripped
ctrpv2,2,BIX-01294,marginal,758,23,749,0.2084558933292743,0.2084558933292743,0.2162387222506514,0.2162387222506514
ctrpv2,2,BIX-01294,residualized,758,23,749,0.26939468228296026,0.21599188834822,0.2751987092467645,0.2751987092467645
ctrpv2,2,BIX-01294,irm,758,23,749,0.2159142664276858,0.2159142664276858,0.24912984706951039,0.24912984706951039
ctrpv2,2,BIX-01294,dann,758,23,749,0.22677429065240062,0.22677429065240062,0.23711781101297877,0.23711781101297877
ctrpv2,2,BIX-01294,adae,758,23,749,0.25621514252088834,0.25621514252088834,0.2855112448217355,0.2855112448217355
ctrpv2,2,BMS-195614,baseline,362,22,345,-0.42379408665738016,-0.42379408665738016,,
ctrpv2,2,BMS-195614,marginal,362,22,345,0.15246931391783605,0.15246931391783605,0.15426184575042184,0.15426184575042184
ctrpv2,2,BMS-195614,residualized,362,22,345,0.022775876376027456,-0.12441715845403992,0.012041853221327257,0.01204185322132728
ctrpv2,2,BMS-195614,irm,362,22,345,0.16004561105756643,0.16004561105756643,0.15013054168116932,0.15013054168116932
ctrpv2,2,BMS-195614,dann,362,22,345,0.0909439273860934,0.0909439273860934,0.10312952684769391,0.10312952684769391
ctrpv2,2,BMS-195614,adae,362,22,345,0.0005917217715813804,0.0005917217715813804,0.11630705871772433,0.11630705871772433
ctrpv2,2,BMS-270394,baseline,286,22,259,-0.4469279372466488,-0.4469279372466488,,
ctrpv2,2,BMS-270394,marginal,286,22,259,0.1216631738602122,0.1216631738602122,0.1425982732937898,0.1425982732937898
ctrpv2,2,BMS-270394,residualized,286,22,259,0.2556442114272905,0.06081408606373367,0.24322769470634711,0.24322769470634717
ctrpv2,2,BMS-270394,irm,286,22,259,0.15814246572763618,0.15814246572763618,0.09624259890853261,0.09624259890853261
ctrpv2,2,BMS-270394,dann,286,22,259,0.11050586717184842,0.11050586717184842,0.1556165979177441,0.1556165979177441
ctrpv2,2,BMS-270394,adae,286,22,259,0.09715006945049053,0.09715006945049053,0.14414806633768013,0.14414806633768013
