dataset,seed,item,method,mse,wt_mse,mse_noaddback
depmap,1,GUK1,residualized,0.1966284134562386,0.18304932621092462,1.7948477197392056
depmap,1,GUK1,irm,0.34540225013028136,0.23319787139710993,0.34540225013028136
depmap,1,H2BC15,baseline,0.21076486485165694,0.21065228150337795,0.21076486485165694
depmap,1,H2BC15,marginal,0.23876267627771475,0.23057367276380836,0.23876267627771475
depmap,1,H2BC15,residualized,0.21950507516209786,0.21151014544748867,1.0581108215790427
depmap,1,H2BC15,irm,0.3833188463744161,0.2515683545568975,0.3833188463744161
depmap,1,HMGCS1,baseline,0.2079797096002486,0.20712077547157184,0.2079797096002486
depmap,1,HMGCS1,marginal,0.2963038969236423,0.2827870354362272,0.2963038969236423
depmap,1,HMGCS1,residualized,0.21454265795304514,0.20363503096359895,3.381701876085548
depmap,1,HMGCS1,irm,0.3603312183550622,0.2921001633835085,0.3603312183550622
depmap,1,HNF1B,baseline,0.1382774160119888,0.13819976423367686,0.1382774160119888
depmap,1,HNF1B,marginal,0.087537746345736,0.08361304785503057,0.087537746345736
depmap,1,HNF1B,residualized,0.09174146442892975,0.08476161749872638,0.2232616089872877
depmap,1,HNF1B,irm,0.13502783378729913,0.10503168766563128,0.13502783378729913
depmap,1,HNRNPH1,baseline,0.21300980229873925,0.21198489779956667,0.21300980229873925
depmap,1,HNRNPH1,marginal,0.22332826211872978,0.2083681143665862,0.22332826211872978
depmap,1,HNRNPH1,residualized,0.19554589225303506,0.18512575257242464,1.5007074013233241
depmap,1,HNRNPH1,irm,0.33377722234050017,0.24520070108102734,0.33377722234050017
depmap,1,INTS6,baseline,0.43845668336862403,0.4372652801255284,0.43845668336862403
depmap,1,INTS6,marginal,0.4228003509420426,0.40844065329822943,0.4228003509420426
depmap,1,INTS6,residualized,0.4308147563022267,0.40499747538929665,1.2103663039413797
depmap,1,INTS6,irm,0.6978732035436687,0.51085366402545,0.6978732035436687
depmap,1,ITGAV,baseline,0.15338634516777488,0.15282254330718978,0.15338634516777488
depmap,1,ITGAV,marginal,0.10875706653644791,0.10275192427794876,0.10875706653644791
depmap,1,ITGAV,residualized,0.10656367697994083,0.10027508557896063,0.556481367349728
depmap,1,ITGAV,irm,0.16529969855939902,0.1309435850599776,0.16529969855939902
depmap,1,KEAP1,baseline,0.18681257877468987,0.18652507893503043,0.18681257877468987
depmap,1,KEAP1,marginal,0.18016551009078768,0.17151788737355453,0.18016551009078768
depmap,1,KEAP1,residualized,0.17764854944263828,0.16485426236699205,0.2589024141165942
depmap,1,KEAP1,irm,0.19821048846627407,0.180260621283102,0.19821048846627407
depmap,1,KIF11,baseline,0.2593495433751847,0.2589411408364631,0.2593495433751847
depmap,1,KIF11,marginal,0.39639898009214175,0.37664956587277365,0.39639898009214175
depmap,1,KIF11,residualized,0.2781313082524845,0.2626436218247302,6.809200307166478
depmap,1,KIF11,irm,0.4910151344008198,0.41472368565444717,0.4910151344008198
depmap,1,KIF18A,baseline,0.4115074068936479,0.4097264557721857,0.4115074068936479
depmap,1,KIF18A,marginal,0.4103691188086475,0.3957220820406157,0.4103691188086475
depmap,1,KIF18A,residualized,0.4119412196494522,0.38556331821697726,2.1365626076340405
depmap,1,KIF18A,irm,0.6756595443902673,0.49665669218501907,0.6756595443902673
depmap,1,KLF5,baseline,0.11654117076060443,0.11638799230007428,0.11654117076060443
depmap,1,KLF5,marginal,0.0969992696961486,0.09281434515817019,0.0969992696961486
depmap,1,KLF5,residualized,0.09956683500598178,0.09514807559041355,0.27719247564738353
