dataset,seed,item,method,n_cells,n_tissues,pearson,wt_pearson,wt_pearson_recon
depmap,3,WNK1,marginal,1076,29,0.48503301937990667,0.31667620649918016,0.31667620649918016
depmap,3,WNK1,residualized,1076,29,0.4943567161256848,0.3062172636819579,0.26457813914194706
depmap,3,WNK1,irm,1076,29,0.3669305097487428,0.21919986196142413,0.21919986196142413
depmap,3,YARS2,baseline,1076,29,0.19262484146010125,-0.27410903573533363,-0.27410903573533363
depmap,3,YARS2,marginal,1076,29,0.31702707221380116,0.2492940070730123,0.2492940070730123
depmap,3,YARS2,residualized,1076,29,0.32242886353601147,0.27016506033700344,0.2083942348664273
depmap,3,YARS2,irm,1076,29,0.09397047168594722,0.06555116532070432,0.06555116532070432
depmap,3,YPEL5,baseline,1076,29,0.26104984199864173,-0.24927967464905829,-0.24927967464905829
depmap,3,YPEL5,marginal,1076,29,0.3707970831401041,0.253015109654935,0.253015109654935
depmap,3,YPEL5,residualized,1076,29,0.3674508549935296,0.2717413892125733,0.21215922060477224
depmap,3,YPEL5,irm,1076,29,0.2862928944643285,0.18035821331235694,0.18035821331235694
depmap,3,YRDC,baseline,1076,29,0.4397442204507549,-0.22438333494687251,-0.22438333494687251
depmap,3,YRDC,marginal,1076,29,0.4997048246993133,0.3262576204067998,0.3262576204067998
depmap,3,YRDC,residualized,1076,29,0.5336722165404925,0.34454545774184936,0.3121091219626385
depmap,3,YRDC,irm,1076,29,0.4230038828017621,0.24802654998692114,0.24802654998692114
depmap,4,ACO2,baseline,1076,29,0.31411381214684025,-0.30884771345533524,-0.30884771345533524
depmap,4,ACO2,marginal,1076,29,0.45037879564758976,0.3393617682437608,0.3393617682437608
depmap,4,ACO2,residualized,1076,29,0.4458311390461876,0.3365358803571373,0.2703964488564324
depmap,4,ACO2,irm,1076,29,0.26760893575797023,0.16617036505638202,0.16617036505638202
depmap,4,ACTB,baseline,1076,29,0.27418827611378876,-0.3116480417187164,-0.3116480417187164
depmap,4,ACTB,marginal,1076,29,0.403176175322138,0.3003271098751773,0.3003271098751773
depmap,4,ACTB,residualized,1076,29,0.3827358520663976,0.28723346954871926,0.22451666488187982
depmap,4,ACTB,irm,1076,29,0.21228812904188157,0.14196582477015304,0.14196582477015304
depmap,4,ACTR1A,baseline,1076,29,0.26688979015774544,-0.2683429444255054,-0.2683429444255054
depmap,4,ACTR1A,marginal,1076,29,0.3691820454852252,0.2736441161338747,0.2736441161338747
depmap,4,ACTR1A,residualized,1076,29,0.4051782786958684,0.32462767273967513,0.28711151957714715
depmap,4,ACTR1A,irm,1076,29,0.23814718892506573,0.1689856028725562,0.1689856028725562
depmap,4,ADSL,baseline,1076,29,0.48215063323382934,-0.27070373808245196,-0.27070373808245196
depmap,4,ADSL,marginal,1076,29,0.5265391437767992,0.3032620237871336,0.3032620237871336
depmap,4,ADSL,residualized,1076,29,0.5751109166537699,0.35994378266700433,0.32656469652657377
depmap,4,ADSL,irm,1076,29,0.41031227640627815,0.22846923578583656,0.22846923578583656
depmap,4,AK6,baseline,1075,29,0.2979819484102109,-0.2907686699308115,-0.2907686699308115
depmap,4,AK6,marginal,1075,29,0.33676689555552486,0.21688348622988415,0.21688348622988415
depmap,4,AK6,residualized,1075,29,0.3493469525016915,0.20745261845959198,0.14452050986009965
depmap,4,AK6,irm,1075,29,0.22259775308211668,0.1145889352430411,0.1145889352430411
depmap,4,ALDOA,baseline,1076,29,0.17177905881217917,-0.3125008740782871,-0.3125008740782871
depmap,4,ALDOA,marginal,1076,29,0.20588987058106484,0.1224787057652181,0.1224787057652181
depmap,4,ALDOA,residualized,1076,29,0.23372976279992616,0.16326180716284575,0.08070964772441723
depmap,4,ALDOA,irm,1076,29,0.11571609535523603,0.08069960669095763,0.08069960669095763
